StationUID,ServiceAvailable,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime
TXG3200,1,17,19,2020-07-23T09:36:21+08:00
TXG3201,1,11,21,2020-07-23T09:36:18+08:00
TXG3202,1,17,31,2020-07-23T09:36:20+08:00
TXG3203,1,21,15,2020-07-23T09:36:35+08:00
TXG3204,1,19,11,2020-07-23T09:36:44+08:00
TXG3205,1,15,21,2020-07-23T09:35:33+08:00
TXG3206,1,15,21,2020-07-23T09:36:31+08:00
TXG3207,1,15,19,2020-07-23T09:36:31+08:00
TXG3208,1,13,17,2020-07-23T09:36:42+08:00
TXG3209,1,19,11,2020-07-23T09:36:38+08:00
TXG3210,1,9,23,2020-07-23T09:36:20+08:00
TXG3211,1,11,13,2020-07-23T09:36:24+08:00
TXG3212,1,18,14,2020-07-23T09:36:25+08:00
TXG3213,1,9,23,2020-07-23T09:36:16+08:00
TXG3214,1,12,40,2020-07-23T09:36:41+08:00
TXG3215,1,19,15,2020-07-23T09:36:40+08:00
TXG3216,1,18,14,2020-07-23T09:36:29+08:00
TXG3217,1,25,25,2020-07-23T09:36:40+08:00
TXG3218,1,18,20,2020-07-23T09:35:25+08:00
TXG3219,1,15,19,2020-07-23T09:36:37+08:00
TXG3220,1,20,16,2020-07-23T09:36:43+08:00
TXG3221,1,15,17,2020-07-23T09:36:21+08:00
TXG3222,1,16,20,2020-07-23T09:36:45+08:00
TXG3223,1,19,17,2020-07-23T09:36:42+08:00
TXG3224,1,21,15,2020-07-23T09:36:19+08:00
TXG3225,1,14,16,2020-07-23T09:36:38+08:00
TXG3226,1,20,12,2020-07-23T09:36:22+08:00
TXG3227,1,13,17,2020-07-23T09:36:32+08:00
TXG3228,1,6,23,2020-07-23T09:36:39+08:00
TXG3229,1,21,13,2020-07-23T09:36:26+08:00
TXG3230,1,19,13,2020-07-23T09:36:27+08:00
TXG3231,1,14,22,2020-07-23T09:36:36+08:00
TXG3232,1,18,12,2020-07-23T09:36:18+08:00
TXG3233,1,37,15,2020-07-23T09:36:38+08:00
